"","xvar","yvar","spec","k","fill"
"899",14,"all wf1",0,5,"0"
"900",14,"wf1_b",0,5,"0"
"901",14,"wf1_a",1,5,"5"
"902",3,"pet-peese",1,5,"5"
"903",3,"puniform",0,5,"0"
"904",3,"fe",0,5,"0"
"905",3,"reml",0,5,"0"
"906",3,"rve",0,5,"0"
"907",3,"3-level",0,5,"0"
"908",3,"modeled",0,5,"0"
"909",3,"aggregate",1,5,"5"
"910",3,"ignore",0,5,"0"
"911",3,"all rob",0,5,"0"
"912",3,"include_best",1,5,"5"
"913",3,"exclude_worst",0,5,"0"
"914",3,"all effects",0,5,"0"
"915",3,"not_outlier",1,5,"5"
"916",3,"all wf1",0,5,"0"
"917",3,"wf1_b",1,5,"5"
"918",3,"wf1_a",0,5,"0"
"919",7,"pet-peese",1,10,"10"
"920",7,"puniform",0,10,"0"
"921",7,"fe",0,10,"0"
"922",7,"reml",0,10,"0"
"923",7,"rve",0,10,"0"
"924",7,"3-level",0,10,"0"
"925",7,"modeled",0,10,"0"
"926",7,"aggregate",1,10,"10"
"927",7,"ignore",0,10,"0"
"928",7,"all rob",0,10,"0"
"929",7,"include_best",1,10,"10"
"930",7,"exclude_worst",0,10,"0"
"931",7,"all effects",0,10,"0"
"932",7,"not_outlier",1,10,"10"
"933",7,"all wf1",1,10,"10"
"934",7,"wf1_b",0,10,"0"
"935",7,"wf1_a",0,10,"0"
"936",16,"pet-peese",1,16,"16"
"937",16,"puniform",0,16,"0"
"938",16,"fe",0,16,"0"
"939",16,"reml",0,16,"0"
"940",16,"rve",0,16,"0"
"941",16,"3-level",0,16,"0"
"942",16,"modeled",0,16,"0"
"943",16,"aggregate",1,16,"16"
"944",16,"ignore",0,16,"0"
"945",16,"all rob",1,16,"16"
"946",16,"include_best",0,16,"0"
"947",16,"exclude_worst",0,16,"0"
"948",16,"all effects",0,16,"0"
"949",16,"not_outlier",1,16,"16"
"950",16,"all wf1",0,16,"0"
"951",16,"wf1_b",0,16,"0"
"952",16,"wf1_a",1,16,"16"
"953",20,"pet-peese",1,27,"27"
"954",20,"puniform",0,27,"0"
"955",20,"fe",0,27,"0"
"956",20,"reml",0,27,"0"
"957",20,"rve",0,27,"0"
"958",20,"3-level",0,27,"0"
"959",20,"modeled",0,27,"0"
"960",20,"aggregate",1,27,"27"
"961",20,"ignore",0,27,"0"
"962",20,"all rob",1,27,"27"
"963",20,"include_best",0,27,"0"
"964",20,"exclude_worst",0,27,"0"
"965",20,"all effects",0,27,"0"
"966",20,"not_outlier",1,27,"27"
"967",20,"all wf1",1,27,"27"
"968",20,"wf1_b",0,27,"0"
"969",20,"wf1_a",0,27,"0"
"970",1,"pet-peese",1,21,"21"
"971",1,"puniform",0,21,"0"
"972",1,"fe",0,21,"0"
"973",1,"reml",0,21,"0"
"974",1,"rve",0,21,"0"
"975",1,"3-level",0,21,"0"
"976",1,"modeled",0,21,"0"
"977",1,"aggregate",1,21,"21"
"978",1,"ignore",0,21,"0"
"979",1,"all rob",1,21,"21"
"980",1,"include_best",0,21,"0"
"981",1,"exclude_worst",0,21,"0"
"982",1,"all effects",1,21,"21"
"983",1,"not_outlier",0,21,"0"
"984",1,"all wf1",0,21,"0"
"985",1,"wf1_b",0,21,"0"
"986",1,"wf1_a",1,21,"21"
"987",6,"pet-peese",1,23,"23"
"988",6,"puniform",0,23,"0"
"989",6,"fe",0,23,"0"
"990",6,"reml",0,23,"0"
"991",6,"rve",0,23,"0"
"992",6,"3-level",0,23,"0"
"993",6,"modeled",0,23,"0"
"994",6,"aggregate",1,23,"23"
"995",6,"ignore",0,23,"0"
"996",6,"all rob",1,23,"23"
"997",6,"include_best",0,23,"0"
"998",6,"exclude_worst",0,23,"0"
"999",6,"all effects",1,23,"23"
"1000",6,"not_outlier",0,23,"0"
"1001",6,"all wf1",0,23,"0"
"1002",6,"wf1_b",1,23,"23"
"1003",6,"wf1_a",0,23,"0"
"1004",2,"pet-peese",1,40,"40"
"1005",2,"puniform",0,40,"0"
"1006",2,"fe",0,40,"0"
"1007",2,"reml",0,40,"0"
"1008",2,"rve",0,40,"0"
"1009",2,"3-level",0,40,"0"
"1010",2,"modeled",0,40,"0"
"1011",2,"aggregate",1,40,"40"
"1012",2,"ignore",0,40,"0"
"1013",2,"all rob",1,40,"40"
"1014",2,"include_best",0,40,"0"
"1015",2,"exclude_worst",0,40,"0"
"1016",2,"all effects",1,40,"40"
"1017",2,"not_outlier",0,40,"0"
"1018",2,"all wf1",1,40,"40"
"1019",2,"wf1_b",0,40,"0"
"1020",2,"wf1_a",0,40,"0"
"1021",26,"pet-peese",0,30,"0"
"1022",26,"puniform",0,30,"0"
"1023",26,"fe",0,30,"0"
"1024",26,"reml",0,30,"0"
"1025",26,"rve",0,30,"0"
"1026",26,"3-level",1,30,"30"
"1027",26,"modeled",1,30,"30"
"1028",26,"aggregate",0,30,"0"
"1029",26,"ignore",0,30,"0"
"1030",26,"all rob",0,30,"0"
"1031",26,"include_best",0,30,"0"
"1032",26,"exclude_worst",1,30,"30"
"1033",26,"all effects",0,30,"0"
"1034",26,"not_outlier",1,30,"30"
"1035",26,"all wf1",1,30,"30"
"1036",26,"wf1_b",0,30,"0"
"1037",26,"wf1_a",0,30,"0"
"1038",43,"pet-peese",0,32,"0"
"1039",43,"puniform",0,32,"0"
"1040",43,"fe",0,32,"0"
"1041",43,"reml",0,32,"0"
"1042",43,"rve",0,32,"0"
"1043",43,"3-level",1,32,"32"
"1044",43,"modeled",1,32,"32"
"1045",43,"aggregate",0,32,"0"
"1046",43,"ignore",0,32,"0"
"1047",43,"all rob",1,32,"32"
"1048",43,"include_best",0,32,"0"
"1049",43,"exclude_worst",0,32,"0"
"1050",43,"all effects",0,32,"0"
"1051",43,"not_outlier",1,32,"32"
"1052",43,"all wf1",1,32,"32"
"1053",43,"wf1_b",0,32,"0"
"1054",43,"wf1_a",0,32,"0"
"1055",58,"pet-peese",0,23,"0"
"1056",58,"puniform",0,23,"0"
"1057",58,"fe",0,23,"0"
"1058",58,"reml",0,23,"0"
"1059",58,"rve",0,23,"0"
"1060",58,"3-level",1,23,"23"
"1061",58,"modeled",1,23,"23"
"1062",58,"aggregate",0,23,"0"
"1063",58,"ignore",0,23,"0"
"1064",58,"all rob",1,23,"23"
"1065",58,"include_best",0,23,"0"
"1066",58,"exclude_worst",0,23,"0"
"1067",58,"all effects",1,23,"23"
"1068",58,"not_outlier",0,23,"0"
"1069",58,"all wf1",0,23,"0"
"1070",58,"wf1_b",0,23,"0"
"1071",58,"wf1_a",1,23,"23"
"1072",65,"pet-peese",0,27,"0"
"1073",65,"puniform",0,27,"0"
"1074",65,"fe",0,27,"0"
"1075",65,"reml",0,27,"0"
"1076",65,"rve",0,27,"0"
"1077",65,"3-level",1,27,"27"
"1078",65,"modeled",1,27,"27"
"1079",65,"aggregate",0,27,"0"
"1080",65,"ignore",0,27,"0"
"1081",65,"all rob",1,27,"27"
"1082",65,"include_best",0,27,"0"
"1083",65,"exclude_worst",0,27,"0"
"1084",65,"all effects",1,27,"27"
"1085",65,"not_outlier",0,27,"0"
"1086",65,"all wf1",0,27,"0"
"1087",65,"wf1_b",1,27,"27"
"1088",65,"wf1_a",0,27,"0"
"1089",63,"pet-peese",0,50,"0"
"1090",63,"puniform",0,50,"0"
"1091",63,"fe",0,50,"0"
"1092",63,"reml",0,50,"0"
"1093",63,"rve",0,50,"0"
"1094",63,"3-level",1,50,"50"
"1095",63,"modeled",1,50,"50"
"1096",63,"aggregate",0,50,"0"
"1097",63,"ignore",0,50,"0"
"1098",63,"all rob",1,50,"50"
"1099",63,"include_best",0,50,"0"
"1100",63,"exclude_worst",0,50,"0"
"1101",63,"all effects",1,50,"50"
"1102",63,"not_outlier",0,50,"0"
"1103",63,"all wf1",1,50,"50"
"1104",63,"wf1_b",0,50,"0"
"1105",63,"wf1_a",0,50,"0"
"1106",25,"pet-peese",0,30,"0"
"1107",25,"puniform",0,30,"0"
"1108",25,"fe",0,30,"0"
"1109",25,"reml",0,30,"0"
"1110",25,"rve",1,30,"30"
"1111",25,"3-level",0,30,"0"
"1112",25,"modeled",1,30,"30"
"1113",25,"aggregate",0,30,"0"
"1114",25,"ignore",0,30,"0"
"1115",25,"all rob",0,30,"0"
"1116",25,"include_best",0,30,"0"
"1117",25,"exclude_worst",1,30,"30"
"1118",25,"all effects",0,30,"0"
"1119",25,"not_outlier",1,30,"30"
"1120",25,"all wf1",1,30,"30"
"1121",25,"wf1_b",0,30,"0"
"1122",25,"wf1_a",0,30,"0"
"1123",42,"pet-peese",0,32,"0"
"1124",42,"puniform",0,32,"0"
"1125",42,"fe",0,32,"0"
"1126",42,"reml",0,32,"0"
"1127",42,"rve",1,32,"32"
"1128",42,"3-level",0,32,"0"
"1129",42,"modeled",1,32,"32"
"1130",42,"aggregate",0,32,"0"
"1131",42,"ignore",0,32,"0"
"1132",42,"all rob",1,32,"32"
"1133",42,"include_best",0,32,"0"
"1134",42,"exclude_worst",0,32,"0"
"1135",42,"all effects",0,32,"0"
"1136",42,"not_outlier",1,32,"32"
"1137",42,"all wf1",1,32,"32"
"1138",42,"wf1_b",0,32,"0"
"1139",42,"wf1_a",0,32,"0"
"1140",57,"pet-peese",0,23,"0"
"1141",57,"puniform",0,23,"0"
"1142",57,"fe",0,23,"0"
"1143",57,"reml",0,23,"0"
"1144",57,"rve",1,23,"23"
"1145",57,"3-level",0,23,"0"
"1146",57,"modeled",1,23,"23"
"1147",57,"aggregate",0,23,"0"
"1148",57,"ignore",0,23,"0"
"1149",57,"all rob",1,23,"23"
"1150",57,"include_best",0,23,"0"
"1151",57,"exclude_worst",0,23,"0"
"1152",57,"all effects",1,23,"23"
"1153",57,"not_outlier",0,23,"0"
"1154",57,"all wf1",0,23,"0"
"1155",57,"wf1_b",0,23,"0"
"1156",57,"wf1_a",1,23,"23"
"1157",66,"pet-peese",0,27,"0"
"1158",66,"puniform",0,27,"0"
"1159",66,"fe",0,27,"0"
"1160",66,"reml",0,27,"0"
"1161",66,"rve",1,27,"27"
"1162",66,"3-level",0,27,"0"
"1163",66,"modeled",1,27,"27"
"1164",66,"aggregate",0,27,"0"
"1165",66,"ignore",0,27,"0"
"1166",66,"all rob",1,27,"27"
"1167",66,"include_best",0,27,"0"
"1168",66,"exclude_worst",0,27,"0"
"1169",66,"all effects",1,27,"27"
"1170",66,"not_outlier",0,27,"0"
"1171",66,"all wf1",0,27,"0"
"1172",66,"wf1_b",1,27,"27"
"1173",66,"wf1_a",0,27,"0"
"1174",62,"pet-peese",0,50,"0"
"1175",62,"puniform",0,50,"0"
"1176",62,"fe",0,50,"0"
"1177",62,"reml",0,50,"0"
"1178",62,"rve",1,50,"50"
"1179",62,"3-level",0,50,"0"
"1180",62,"modeled",1,50,"50"
"1181",62,"aggregate",0,50,"0"
"1182",62,"ignore",0,50,"0"
"1183",62,"all rob",1,50,"50"
"1184",62,"include_best",0,50,"0"
"1185",62,"exclude_worst",0,50,"0"
"1186",62,"all effects",1,50,"50"
"1187",62,"not_outlier",0,50,"0"
"1188",62,"all wf1",1,50,"50"
"1189",62,"wf1_b",0,50,"0"
"1190",62,"wf1_a",0,50,"0"
